frame,t0_cap,t1_recv,t2_render,t3_draw,t4_present,cap_ms,rend_ms,pipeline_ms,upload_ms,present_ms
1,0,0,6795128013039,6795128013039,6795128058719,0.00,0.00,679512805.87,0.000,4.57
2,6795128361619,6795128368510,6795128368583,6795128368583,6795128385538,0.00,32.68,2.39,0.000,1.70
3,6795128522701,6795128529666,6795128529771,6795128529771,6795128543637,16.11,15.81,2.09,0.000,1.39
4,6795128683567,6795128686723,6795128686837,6795128686837,6795128696280,16.09,15.26,1.27,0.000,0.94
5,6795128847611,6795128850869,6795128850948,6795128850948,6795128859362,16.40,16.31,1.18,0.000,0.84
6,6795129010118,6795129013297,6795129013381,6795129013381,6795129022445,16.25,16.31,1.23,0.000,0.91
7,6795129175187,6795129178987,6795129179105,6795129179105,6795129188744,16.51,16.63,1.36,0.000,0.96
8,6795129337933,6795129341212,6795129341304,6795129341304,6795129349865,16.27,16.11,1.19,0.000,0.86
9,6795129499400,6795129502738,6795129502820,6795129502820,6795129511896,16.15,16.20,1.25,0.000,0.91
10,6795129662578,6795129666060,6795129666129,6795129666129,6795129675203,16.32,16.33,1.26,0.000,0.91
11,6795129824175,6795129828545,6795129828637,6795129828637,6795129838422,16.16,16.32,1.42,0.000,0.98
12,6795129990216,6795129996586,6795129996686,6795129996686,6795130007262,16.60,16.88,1.70,0.000,1.06
13,6795130151987,6795130155218,6795130155312,6795130155312,6795130164391,16.18,15.71,1.24,0.000,0.91
14,6795130313915,6795130317138,6795130317236,6795130317236,6795130327773,16.19,16.34,1.39,0.000,1.05
15,6795130477602,6795130481109,6795130481222,6795130481222,6795130492735,16.37,16.50,1.51,0.000,1.15
16,6795130641693,6795130645960,6795130646069,6795130646069,6795130655801,16.41,16.31,1.41,0.000,0.97
17,6795130804340,6795130807689,6795130807935,6795130807935,6795130816846,16.26,16.10,1.25,0.000,0.89
18,6795130968526,6795130972323,6795130972400,6795130972400,6795130982189,16.42,16.53,1.37,0.000,0.98
19,6795131130952,6795131135188,6795131135277,6795131135277,6795131145593,16.24,16.34,1.46,0.000,1.03
20,6795131293314,6795131296218,6795131296300,6795131296300,6795131305164,16.24,15.96,1.19,0.000,0.89
21,6795131456589,6795131460288,6795131460443,6795131460443,6795131471131,16.33,16.60,1.45,0.000,1.07
22,6795131620076,6795131623500,6795131623611,6795131623611,6795131636738,16.35,16.56,1.67,0.000,1.31
23,6795131782183,6795131785165,6795131785237,6795131785237,6795131793852,16.21,15.71,1.17,0.000,0.86
24,6795131946935,6795131950673,6795131950766,6795131950766,6795131960659,16.48,16.68,1.37,0.000,0.99
25,6795132108808,6795132112422,6795132112524,6795132112524,6795132121592,16.19,16.09,1.28,0.000,0.91
26,6795132271898,6795132275513,6795132275591,6795132275591,6795132285688,16.31,16.41,1.38,0.000,1.01
27,6795132438188,6795132442194,6795132442295,6795132442295,6795132450668,16.63,16.50,1.25,0.000,0.84
28,6795132600393,6795132604728,6795132604821,6795132604821,6795132614109,16.22,16.34,1.37,0.000,0.93
29,6795132762345,6795132766183,6795132766268,6795132766268,6795132775995,16.20,16.19,1.36,0.000,0.97
30,6795132926327,6795132930578,6795132930682,6795132930682,6795132940995,16.40,16.50,1.47,0.000,1.03
31,6795133087987,6795133091176,6795133091281,6795133091281,6795133099309,16.17,15.83,1.13,0.000,0.80
32,6795133252728,6795133255890,6795133255988,6795133255988,6795133264608,16.47,16.53,1.19,0.000,0.86
33,6795133414000,6795133417902,6795133417976,6795133417976,6795133426740,16.13,16.21,1.27,0.000,0.88
34,6795133576973,6795133579984,6795133580057,6795133580057,6795133588363,16.30,16.16,1.14,0.000,0.83
35,6795133740693,6795133744356,6795133744430,6795133744430,6795133753056,16.37,16.47,1.24,0.000,0.86
36,6795133903153,6795133906134,6795133906203,6795133906203,6795133914650,16.25,16.16,1.15,0.000,0.84
37,6795134066534,6795134069794,6795134069865,6795134069865,6795134080584,16.34,16.59,1.41,0.000,1.07
38,6795134229381,6795134233237,6795134233329,6795134233329,6795134243521,16.28,16.29,1.41,0.000,1.02
39,6795134392203,6795134395387,6795134395442,6795134395442,6795134403654,16.28,16.01,1.15,0.000,0.82
